D USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2806 anas      20   0 2671864  68340   6496 S  48,7   1,7   0:25.64 alacritty
    439 root      20   0  544148 190124  42324 S  21,7   4,7   1:15.28 Xorg
  23467 anas      20   0 1026524   1,0g    940 S   3,3  25,5   0:00.30 a.out
    843 anas      20   0  675088 150764  20948 S   2,3   3,8   0:29.12 awesome
  12123 anas      20   0  571120  43120  20584 S   1,7   1,1   0:07.69 geany
    954 anas      20   0  199080  12832   1220 S   0,7   0,3   0:04.94 picom
   3096 anas      20   0   32,6g 220116 115468 S   0,7   5,5   0:16.48 chrome
    194 root      20   0       0      0      0 S   0,3   0,0   0:00.09 jbd2/sda1-8
    997 anas      20   0  404448   2872     32 S   0,3   0,1   0:05.92 conky
   3148 anas      20   0   32,3g  29836  17544 S   0,3   0,7   0:00.25 chrome
  18847 anas      20   0 1129,4g 227080 132484 S   0,3   5,7   0:17.76 chrome
  23482 anas      20   0   10920   4432   3276 R   0,3   0,1   0:00.03 top
      1 root      20   0  165764   6832   4064 S   0,0   0,2   0:00.77 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par_gp
      5 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 slub_flushwqmkdir ~/week1 


